CenterName,Link,Latitude,Longitute
Appalachian Highlands Science Learning Center,http://www.nps.gov/grsm/learn/nature/pk-homepage.htm,35.584,-83.073
Atlantic Research and Learning Center,http://www.nps.gov/caco/learn/nature/arlc.htm,42.032062,-70.054381
Crown of the Continent Research Learning Center,https://www.nps.gov/rlc/crown/index.htm,48.501083,-113.9815
Continental Divide Research Learning Center,http://www.nps.gov/rlc/continentaldivide/index.htm,40.366232,-105.560713
Crater Lake Science and Learning Center,https://www.nps.gov/rlc/craterlake/index.htm,42.900306,-122.136298
Desert Research Learning Center,http://science.nature.nps.gov/im/units/sodn/drlc.cfm,32.22,-110.72
Gulf Islands Research and Education Center,http://www.nps.gov/resources/2016.htm?id=530EE15F-1DD8-B71B-0B6DAB24172573E1,30.364075,-87.13079
Great Lakes Research and Education Center,http://www.nps.gov/rlc/greatlakes/index.htm,41.631243,-87.088048
Gateway Research Learning Center,http://www.nps.gov/gate/learn/nature/gateway-research-learning-center-home.htm,40.5897,-73.899
Murie Science and Learning Center,http://www.nps.gov/rlc/murie/index.htm,63.733602,-148.917645
North Coast and Cascades Research Learning Center,http://www.nature.nps.gov/rlc/nccsln.cfm,48.663564,-121.124055
Ocean Alaska Science and Learning Center,http://www.nps.gov/rlc/oceanalaska/index.htm,60.1244,-149.4333
Old-Growth Bottomland Forest Research and Educaton Center,http://www.nps.gov/rlc/ogbfrec,33.831,-80.819
Pacific Coast Science and Learning Center,https://www.nps.gov/rlc/pacificcoast/index.htm,38.043571,-122.799428
Southern California Research Learning Center,,34.1857195,-118.8863577
Schoodic Education and Research Center,https://www.nps.gov/rlc/schoodic/index.htm,44.335,-68.101
Urban Ecology Research Learning Alliance, https://www.nps.gov/rlc/urbanecology/index.htm,38.909074,-77.090475
Mammoth Cave International Center for Science and Learning,http://www.nps.gov/maca/learn/nature/mammoth-cave-international-center-for-science-and-learning.htm,37.187,-86.101
