park,camera_location,website_link,larger_website_link,image_link,larger_image_link,longitude_dms,long_dd,latitude_dms,lat_dd,general_direction,elevation_meters,start_date,the_geom,created_at,updated_at,network_co,cartodb_id
Hawaii Volcanoes National Park,Kiluea Visitor Center,http://www.nature.nps.gov/air/WebCams/parks/havocam/havocam.cfm,http://www.nature.nps.gov/air/WebCams/parks/havocam/havolargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/havocam/havo.jpg,http://www.nature.nps.gov/air/WebCams/parks/havocam/havolarge.jpg,155 15 31,-155.2586111111,19 25 44,19.4288888889,West-Southwest,1875,March 2011,0101000020E6100000D111CF8A466863C07B7187A9CB6D3340,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,pacn,8
Mammoth Cave National Park,Hiking Trail near Earth House,http://www.nature.nps.gov/air/WebCams/parks/macacam/macacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/macacam/macalargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/macacam/maca.jpg,http://www.nature.nps.gov/air/WebCams/parks/macacam/macalarge.jpg,86 06 07,-86.1019444444,37 11 09 ,37.1858333333,North-Northwest,226,Dec. 2001   ,0101000020E61000003EADFD41868655C0DD83FC62C9974240,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,cupn,10
Mount Rainier National Park,Paradise Ski Dorm,http://www.nature.nps.gov/air/WebCams/parks/moracam/moracam.cfm,http://www.nature.nps.gov/air/WebCams/parks/moracam/moralargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/moracam/mora.jpg,,121 44 0,-121.7333333333,46 47 0 ,46.7833333333,West-Southwest,1650,July 2003  ,0101000020E6100000C5E5EEEEEE6E5EC0F131444444644740,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,nccn,11
North Cascades National Park,Newhalem Visitor Center,http://www.nature.nps.gov/air/WebCams/parks/nocacam/nocacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/nocacam/nocalargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/nocacam/noca.jpg,,121 15 22,-121.2561111111,48 40 14 ,48.6705555556,North-Northwest,146,July 2003   ,0101000020E61000004594DB1F64505EC0FFB9B2C3D4554840,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,nccn,13
Olympic National Park,Lake Crescent,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olymcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olymlargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olym.jpg,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olymlarge.jpg,123 48 21,-123.8058333333,48 05 41 ,48.0947222222,Southeast,191,July 2003   ,0101000020E61000003623F9C592F35EC0D74697DB1F0C4840,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,nccn,14
Joshua Tree National Park,Belle Mountain Ambient Weather Station,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotrcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotrlargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotr.jpg,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotrlarge.jpg,116 11 22,-116.1894444444,34 1 5,34.0180555556,Southeast,1265,Nov. 2001,0101000020E6100000D74697DB1F0C5DC01468FAA44F024140,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,modn,9
Grand Canyon National Park,Yavapai Point,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grcacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grcalargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grca.jpg,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grcalarge.jpg,112 7 3,-112.1175,36 3 58 ,36.0661111111,Northwest,1166,Nov 2001,0101000020E6100000EC51B81E85075CC0D209325476084240,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,scpn,4
Sequoia & Kings Canyon National Park,Lower Kaweah,http://www.nature.nps.gov/air/WebCams/parks/sekicam/sekicam.cfm,http://www.nature.nps.gov/air/WebCams/parks/sekicam/sekilargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/sekicam/seki.jpg,http://www.nature.nps.gov/air/WebCams/parks/sekicam/sekilarge.jpg,118 46 38,-118.7772222222,36 33 57,36.5658333333,Southwest,1890,April 2002,0101000020E6100000B3844602BEB15DC04DC1063A6D484240,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,sien,16
Yosemite National Park,Turtleback Dome,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yosecam.cfm,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yoselargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yose.jpg,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yoselarge.jpg,119 42 22,-119.7061111111,37 42 48 ,37.7133333333,Southwest,1605,Nov 2005,0101000020E61000001261A8EC30ED5DC0C8D5B4814EDB4240,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,sien,19
Shenandoah National Park,"Pinnacles, Skyline Drive",http://www.nature.nps.gov/air/WebCams/parks/shencam/shencam.cfm,http://www.nature.nps.gov/air/WebCams/parks/shencam/shenlargerimage.cfm,http://www.nature.nps.gov/air/WebCams/parks/shencam/shen.jpg,http://www.nature.nps.gov/air/WebCams/parks/shencam/shenlarge.jpg,78 20 48,-78.3466666667,38 37 4,38.6177777778,North,1578,March 2011,0101000020E6100000C00563C92F9653C05CEC9B57134F4340,2014-06-04 23:20:53.654356+00,2014-06-04 23:21:32.451171+00,midn,17
