Park,Location,Link,ImageLink,Lng,Lat,Direction,Start_Date
Acadia National Park,McFarland Hill,http://www.nature.nps.gov/air/WebCams/parks/acadcam/acadcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/acadcam/acad.jpg,-68.2608333333333,44.3769444444444,Northeast ,March 2007
Big Bend National Park,Panther Junction Visitors Center,http://www.nature.nps.gov/air/WebCams/parks/bibecam/bibecam.cfm,http://www.nature.nps.gov/air/WebCams/parks/bibecam/bibe.jpg,-103.2075,29.3227777777777,Southeast,August 2001   
Denali National Park,Wonder Lake Visitors Center,http://www.nature.nps.gov/air/WebCams/parks/denacam/denacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/denacam/dena.jpg,-150.883333333333,63.4902777777777,Southwest,July 2004
Grand Canyon National Park,Yavapai Point,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grcacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/grcacam/grca.jpg,-112.117499999999,36.0661111111111,Northwest,Nov 2001
Grand Teton National Park,Teton Science School,http://www.nature.nps.gov/air/WebCams/parks/grtecam/grtecam.cfm,http://www.nature.nps.gov/air/WebCams/parks/grtecam/grte.jpg,-110.599444444444,43.6708333333333,West,October 2011
"Great Smoky Mountains National Park, Look Rock",Look Rock Observation Tower,http://www.nature.nps.gov/air/WebCams/parks/grsmcam/grsmcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/grsmcam/grsm.jpg,-83.9422222222222,35.6330555555555,West,March 1998
"Great Smoky Mountains National Park, Purchase Knob",Purchase Knob ELC,http://www.nature.nps.gov/air/WebCams/parks/grsmpkcam/grsmpkcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/grsmpkcam/grpk.jpg,-83.0775,35.59,East,August 2003   
Hawaii Volcanoes National Park,Kiluea Visitor Center,http://www.nature.nps.gov/air/WebCams/parks/havocam/havocam.cfm,http://www.nature.nps.gov/air/WebCams/parks/havocam/havo.jpg,-155.258611111111,19.4288888888888,West-Southwest,March 2011
Joshua Tree National Park,Belle Mountain Ambient Weather Station,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotrcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/jotrcam/jotr.jpg,-116.189444444444,34.0180555555555,Southeast,Nov. 2001
Mammoth Cave National Park,Hiking Trail near Earth House,http://www.nature.nps.gov/air/WebCams/parks/macacam/macacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/macacam/maca.jpg,-86.1019444444444,37.1858333333333,North-Northwest,Dec. 2001   
Mount Rainier National Park,Paradise Ski Dorm,http://www.nature.nps.gov/air/WebCams/parks/moracam/moracam.cfm,http://www.nature.nps.gov/air/WebCams/parks/moracam/mora.jpg,-121.733333333333,46.7833333333333,West-Southwest,July 2003  
National Mall & Memorial Parks,Netherlands Carillon building ,http://www.nature.nps.gov/air/WebCams/parks/nacccam/washcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/nacccam/wash.jpg,-77.0344444444444,38.8763888888888,East,July 2003
North Cascades National Park,Newhalem Visitor Center,http://www.nature.nps.gov/air/WebCams/parks/nocacam/nocacam.cfm,http://www.nature.nps.gov/air/WebCams/parks/nocacam/noca.jpg,-121.256111111111,48.6705555555555,North-Northwest,July 2003   
Olympic National Park,Lake Crescent,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olymcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/olymcam/olym.jpg,-123.805833333333,48.0947222222222,Southeast,July 2003   
Point Reyes National Seashore,Point Reyes Visitors Center ,http://www.nature.nps.gov/air/WebCams/parks/porecam/porecam.cfm,http://www.nature.nps.gov/air/WebCams/parks/porecam/pore.jpg,-123.021111111111,37.9963888888888,North,January 2004   
Sequoia & Kings Canyon National Park,Lower Kaweah,http://www.nature.nps.gov/air/WebCams/parks/sekicam/sekicam.cfm,http://www.nature.nps.gov/air/WebCams/parks/sekicam/seki.jpg,-118.777222222222,36.5658333333333,Southwest,April 2002
Shenandoah National Park,"Pinnacles, Skyline Drive",http://www.nature.nps.gov/air/WebCams/parks/shencam/shencam.cfm,http://www.nature.nps.gov/air/WebCams/parks/shencam/shen.jpg,-78.3466666666666,38.6177777777777,North,March 2011
Theodore Roosevelt National Park,Painted Canyon Visitor Center,http://www.nature.nps.gov/air/WebCams/parks/throcam/throcam.cfm,http://www.nature.nps.gov/air/WebCams/parks/throcam/thro.jpg,-103.377777777777,46.8947222222222,North,August 2002 
Yosemite National Park,Turtleback Dome,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yosecam.cfm,http://www.nature.nps.gov/air/WebCams/parks/yosecam/yose.jpg,-119.706111111111,37.7133333333333,Southwest,Nov 2005
