zip,state,name,lat,lng
80002,CO,Arvada,39.794533,-105.098402
80003,CO,Arvada,39.828572,-105.065549
80004,CO,Arvada,39.814066,-105.11771
80005,CO,Arvada,39.842189,-105.109719
80010,CO,Aurora,39.736788,-104.864618
80011,CO,Aurora,39.737809,-104.815233
80012,CO,Aurora,39.698672,-104.837693
80013,CO,Aurora,39.657457,-104.784566
80014,CO,Aurora,39.666171,-104.834954
80015,CO,Aurora,39.62552,-104.787438
80016,CO,Aurora,39.618713,-104.741734
80017,CO,Aurora,39.694827,-104.788093
80018,CO,Aurora,39.710179,-104.707102
80019,CO,Aurora,39.765608,-104.706906
80020,CO,Broomfield,39.924513,-105.060902
80021,CO,Westminster,39.875996,-105.102837
80022,CO,Commerce City,39.825875,-104.911349
80026,CO,Lafayette,39.997964,-105.096346
80027,CO,Louisville,39.978942,-105.145557
80030,CO,Westminster,39.854238,-105.037086
80033,CO,Wheat Ridge,39.774036,-105.096195
80045,CO,Aurora,39.748014,-104.837954
80101,CO,Agate,39.420256,-103.984575
80102,CO,Bennett,39.725398,-104.427284
80103,CO,Byers,39.698454,-104.201872
80104,CO,Castle Rock,39.39256,-104.860187
80105,CO,Deer Trail,39.593121,-104.068003
80106,CO,Elbert,39.096892,-104.574631
80107,CO,Elizabeth,39.383618,-104.591961
80110,CO,Cherry Hills Vil,39.646027,-104.990022
80111,CO,Cherry Hills Vil,39.610327,-104.882832
80112,CO,Englewood,39.58051,-104.901115
80116,CO,Franktown,39.372841,-104.725569
80117,CO,Kiowa,39.323972,-104.452263
80118,CO,Larkspur,39.201079,-104.854587
80120,CO,Littleton,39.599426,-105.0044
80121,CO,Greenwood Villag,39.605835,-104.957285
80122,CO,Littleton,39.581418,-104.955673
80123,CO,Bow Mar,39.596854,-105.07766
80124,CO,Littleton,39.55061,-104.897204
80125,CO,Littleton,39.484466,-105.056098
80126,CO,Highlands Ranch,39.55134,-104.963751
80127,CO,Littleton,39.591968,-105.132811
80132,CO,Monument,39.100726,-104.85416
80133,CO,Palmer Lake,39.120498,-104.914795
80134,CO,Parker,39.505466,-104.734904
80135,CO,Deckers,39.330109,-105.008305
80136,CO,Strasburg,39.781359,-104.268258
80137,CO,Watkins,39.762317,-104.583391
80202,CO,Denver,39.749107,-104.994591
80203,CO,Denver,39.731285,-104.981111
80204,CO,Denver,39.734022,-105.025854
80205,CO,Denver,39.758993,-104.966141
80206,CO,Denver,39.733109,-104.9524
80207,CO,Denver,39.758425,-104.91771
80209,CO,Denver,39.707437,-104.968587
80210,CO,Denver,39.679003,-104.963124
80211,CO,Denver,39.766515,-105.020377
80212,CO,Mountain View,39.772396,-105.046979
80214,CO,Edgewater,39.746931,-105.062036
80215,CO,Lakewood,39.744033,-105.102329
80216,CO,Denver,39.783469,-104.966946
80218,CO,Denver,39.732747,-104.971652
80219,CO,Denver,39.695624,-105.034134
80220,CO,Denver,39.7312,-104.912866
80221,CO,Federal Heights,39.840562,-105.007985
80222,CO,Glendale,39.682803,-104.927992
80223,CO,Denver,39.700239,-105.002799
80224,CO,Denver,39.687995,-104.910778
80226,CO,Lakewood,39.712186,-105.066703
80227,CO,Denver,39.666746,-105.085359
80228,CO,Lakewood,39.696898,-105.143009
80229,CO,Thornton,39.860998,-104.961749
80231,CO,Denver,39.679324,-104.884326
80232,CO,Lakewood,39.697282,-105.094524
80233,CO,Northglenn,39.901222,-104.958257
80234,CO,Northglenn,39.905479,-105.004474
80235,CO,Denver,39.647175,-105.079466
80236,CO,Denver,39.653535,-105.037595
80237,CO,Denver,39.64314,-104.89866
80239,CO,Denver,39.787757,-104.828837
80241,CO,Northglenn,39.927792,-104.941809
80249,CO,Denver,39.778264,-104.75565
80301,CO,Boulder,40.049733,-105.21426
80302,CO,Boulder,40.017235,-105.285131
80303,CO,Boulder,39.991381,-105.239178
80304,CO,Boulder,40.037482,-105.277073
80401,CO,Golden,39.730548,-105.191528
80403,CO,Golden,39.823219,-105.282516
80421,CO,Bailey,39.448233,-105.469282
80422,CO,Black Hawk,39.801105,-105.503991
80423,CO,Bond,39.869119,-106.676273
80428,CO,Clark,40.726783,-106.921482
80429,CO,Climax,39.298804,-106.258027
80430,CO,Coalmont,40.538252,-106.532134
80433,CO,Conifer,39.519735,-105.316873
80435,CO,Keystone,39.574827,-106.057345
80439,CO,Evergreen,39.637405,-105.340248
80440,CO,Fairplay,39.225617,-105.999416
80441,CO,Foxton,39.372056,-105.24815
80446,CO,Granby,40.012834,-105.889916
80447,CO,Grand Lake,40.228862,-105.860488
80452,CO,Idaho Springs,39.740192,-105.598261
80455,CO,Jamestown,40.10056,-105.418971
80456,CO,Jefferson,39.300926,-105.78633
80459,CO,Kremmling,40.063224,-106.395472
80461,CO,Leadville,39.249742,-106.301545
80463,CO,Mc Coy,39.913377,-106.730906
80465,CO,Morrison,39.612452,-105.174641
80466,CO,Nederland,39.970259,-105.481265
80467,CO,Oak Creek,40.256733,-106.929621
80468,CO,Parshall,40.053765,-106.225492
80470,CO,Pine,39.46667,-105.374116
80471,CO,Pinecliffe,39.942898,-105.354004
80474,CO,Rollinsville,39.910757,-105.472596
80479,CO,Toponas,40.119601,-106.908172
80480,CO,Walden,40.709978,-106.276728
80481,CO,Ward,40.072572,-105.508023
80487,CO,Steamboat Spring,40.474124,-106.8457
80501,CO,Longmont,40.177921,-105.10095
80503,CO,Longmont,40.15588,-105.162432
80504,CO,Longmont,40.130615,-104.950446
80510,CO,Allenspark,40.226775,-105.520064
80512,CO,Bellvue,40.626528,-105.260977
80513,CO,Berthoud,40.299333,-105.105459
80514,CO,Dacono,40.08361,-104.929705
80515,CO,Drake,40.443257,-105.296925
80516,CO,Erie,40.059746,-105.068583
80517,CO,Estes Park,40.365761,-105.514163
80521,CO,Fort Collins,40.581293,-105.103884
80524,CO,Fort Collins,40.59865,-105.05811
80525,CO,Fort Collins,40.538354,-105.054715
80526,CO,Fort Collins,40.547294,-105.107646
80534,CO,Johnstown,40.335526,-104.923558
80535,CO,Laporte,40.634683,-105.148757
80536,CO,Virginia Dale,40.779878,-105.367745
80537,CO,Loveland,40.384917,-105.09164
80538,CO,Loveland,40.426239,-105.089985
80540,CO,Lyons,40.235715,-105.323071
80543,CO,Milliken,40.310656,-104.876137
80545,CO,Red Feather Lake,40.796451,-105.624455
80549,CO,Wellington,40.725525,-105.031844
80550,CO,Windsor,40.483663,-104.899442
80601,CO,Lochbui,39.980553,-104.810278
80610,CO,Ault,40.593772,-104.735629
80611,CO,Briggsdale,40.639192,-104.28707
80612,CO,Carr,40.866551,-104.885865
80615,CO,Eaton,40.527272,-104.714559
80620,CO,Evans,40.380255,-104.697095
80621,CO,Wattenburg,40.078876,-104.865639
80622,CO,Galeton,40.515034,-104.597254
80624,CO,Gill,40.469586,-104.499995
80631,CO,Garden City,40.413968,-104.704756
80634,CO,Greeley,40.410947,-104.754113
80640,CO,Henderson,39.898304,-104.871834
80642,CO,Hudson,40.060555,-104.653208
80643,CO,Keenesburg,40.095847,-104.446366
80644,CO,Kersey,40.396305,-104.528768
80645,CO,La Salle,40.321138,-104.726784
80648,CO,Nunn,40.726483,-104.785012
80649,CO,Orchard,40.363946,-104.097325
80650,CO,Pierce,40.635911,-104.763764
80651,CO,Platteville,40.213121,-104.802776
80652,CO,Roggen,40.207445,-104.315747
80653,CO,Weldona,40.368093,-103.967755
80654,CO,Hoyt,40.205651,-104.052814
80701,CO,Fort Morgan,40.254084,-103.803119
80720,CO,Akron,40.180315,-103.225885
80721,CO,Amherst,40.682386,-102.170567
80722,CO,Atwood,40.517432,-103.039301
80723,CO,Brush,40.260255,-103.62788
80726,CO,Crook,40.874743,-102.847174
80727,CO,Eckley,40.113775,-102.482776
80728,CO,Fleming,40.637019,-102.868821
80729,CO,Grover,40.871635,-104.234613
80731,CO,Haxtun,40.640587,-102.605175
80733,CO,Hillrose,40.307186,-103.541816
80734,CO,Holyoke,40.582542,-102.282545
80735,CO,Hale,39.733147,-102.211563
80736,CO,Iliff,40.769174,-103.096808
80737,CO,Julesburg,40.97083,-102.257501
80740,CO,Lindon,39.830849,-103.314471
80741,CO,Willard,40.511548,-103.34471
80742,CO,New Raymer,40.685079,-103.838982
80743,CO,Otis,40.202989,-102.939219
80744,CO,Ovid,40.945865,-102.387396
80745,CO,Padroni,40.954911,-103.358163
80747,CO,Peetz,40.95195,-103.116606
80749,CO,Sedgwick,40.910317,-102.529122
80750,CO,Snyder,40.330655,-103.597134
80751,CO,Sterling,40.63062,-103.221183
80754,CO,Stoneham,40.686994,-103.638687
80755,CO,Vernon,39.933127,-102.319343
80757,CO,Last Chance,39.938105,-103.578033
80758,CO,Laird,40.104917,-102.233751
80759,CO,Yuma,40.130063,-102.707174
80801,CO,Anton,39.686527,-103.434296
80802,CO,Arapahoe,38.841716,-102.19401
80804,CO,Arriba,39.30253,-103.270968
80805,CO,Bethune,39.344771,-102.428142
80807,CO,Burlington,39.310649,-102.258281
80808,CO,Calhan,38.964773,-104.355274
80809,CO,North Pole,38.921314,-104.993684
80810,CO,Cheyenne Wells,38.819762,-102.358173
