Park,Link,Latitude,Longitude
Bighorn Canyon National Recreation Area,https://www.nps.gov/bica/learn/nature/bats.htm,44.837695,-108.376672
Carlsbad Caverns National Park,https://www.nps.gov/cave/planyourvisit/bat_flight_program.htm,32.147946,-104.55681
Craters of the Moon National Monument & Preserve,https://www.nps.gov/crmo/learn/nature/bats.htm,43.20576,-13.50031
Cuyahoga Valley National Park,https://www.nps.gov/cuva/learn/nature/bats-in-the-park.htm,41.280873,-81.567909
El Malpais National Monument,https://www.nps.gov/elma/learn/nature/mammals-bats.htm,34.942085,-107.989432
Everglades National Park,https://www.nps.gov/ever/learn/nature/bats.htm,25.366418,-80.912439
Glen Canyon National Recreation Area,https://www.nps.gov/glca/learn/nature/bats.htm,37.522196,-110.721683
Grand Canyon National Park,https://www.nps.gov/grca/learn/nature/bats.htm,36.107009,-112.113094
Great Basin National Park,https://www.nps.gov/grba/learn/nature/bats.htm,38.983283,-114.300215
Great Smoky Mountains National Park,https://www.nps.gov/grsm/learn/nature/dff10-wns.htm,35.687458,-83.536805
Jewel Cave National Monument,https://www.nps.gov/jeca/learn/nature/bats.htm,43.730429,-103.829266
Joshua Tree National Park,https://www.nps.gov/jotr/learn/nature/bats.htm,33.873486,-115.901024
