ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
ABLI,Abraham Lincoln Birthplace National Historic Site,KY,SER,,0,," 	30,665 ", 	-00 ,,
ACAD,Acadia National Park,ME,NER,,0,," 	601,294 ", 	263 ,,
ADAM,Adams National Historical Park,MA,NER,,0,," 	2,697,392 "," 	1,417 ",,
AFBG,African Burail Ground National Monument,NY,NER,,0,," 	649,085 "," 	2,966 ",,
AGFO,Agate Fossil Beds National Monument,NE,MWR,,0,," 	6,075,030 "," 	414,707 ",,
ALAG,Alagnak Wild River ,AK,AKR,,0,," 	8,472,506 "," 	9,972 ",,
ALFL,Alibates Flint Quarries National Monument,TX,IMR,,0,," 	3,283,247 "," 	412,711 ",,
ALPO,Allegheny Portage Railroad National Historic Site,PA,NER,,0,," 	4,093,239 "," 	53,884 ",,
AMME,American Memorial Park,HI,PWR,,0,," 	669,983 "," 	257,662 ",,
AMIS,Amistad National Recreation Area,TX,IMR,,0,," 	12,996 "," 	902,859 ",,
ANDE,Andersonville National Historic Site,GA,SER,,0,," 	1,750,717 "," 	3,514 ",,
ANJO,Andrew Johnson National Historic Site,TN,SER,,0,," 	4,030,025 "," 	4,943 ",,
ANIA,Aniakchak National Monument and Preserve,AK,AKR,,0,," 	6,569,904 "," 	4,093 ",,
GLBA,Glacier Bay National Park and Preserve,AK,AKR,,1,2006, 	112 ," 	310,762 ",,
KEFJ,Kenai Fjords National Park,AK,AKR,,1,Dec-10," 	13,175,796 "," 	49,710 ",,
APPA,Appalachian National Scenic Trail,GA,SER,,0,," 	2,526,512 "," 	11,872 ",,
APCO,Appomattox Court House National Historic Park,VA,NER,,0,," 	1,371 "," 	1,635 ",,
ARCH,Arches National Park,UT,IMR,,0,," 	58,500 "," 	1,331,637 ",,
ARPO,Arkansas Post National Memorial,AR,MWR,,0,," 	76,679 "," 	718,794 ",,
KLGO,Klondike Gold Rush National Historic Park,AK,AKR,,1,1/24/11, 	318 ," 	33,514 ",,
ASIS,Assateague Islands National Seashore,MD,NER,,0,," 	33,677 "," 	208,291 ",,
AZRU,Aztec Ruins National Monument,NM,IMR,,0,, 	799 ," 	22,200 ",,
BADL,Badlands National Park,SD,MWR,,0,," 	801,163 "," 	220,050 ",,
BAND,Bandelier National Monument,NM,IMR,,1,2008," 	99,404 "," 	60,086 ",,
BEOL,Bent's Old Fort National Historic Site,CO,IMR,,0,," 	120,296 "," 	156,332 ",,
BELA,Bering Land Bridge National Preserve,AK,AKR,,0,," 	30,750 "," 	134,353 ",,
BIBE,Big Bend National Park,TX,IMR,,0,," 	35,835 "," 	758,822 ",,
BICY,Big Cypress National Preserve,FL,SER,,0,," 	83,840 "," 	679,993 ",,
GLAC,Glacier National Park,MT,IMR,,1,Mar-06," 	337,598 "," 	334,335 ",,
BISO,Big South Fork National River and Recreation Area,KY,SER,,0,," 	241,904 "," 	437,793 ",,
BITH,Big Thicket National Preserve,TX,IMR,,0,, 	793 ," 	44,750 ",,
BICA,Bighorn Canyon National Recreation Area,MT,IMR,,0,," 	46,766 "," 	340,080 ",,
BISC,Biscayne National Park,FL,SER,,0,, 	473 ," 	70,116 ",,
BLCA,Black Canyon of Gunnison National Park,CO,IMR,,0,," 	6,155 "," 	369,394 ",,
BLRI,Blue Ridge Parkway,NC,SER,,0,," 	33,960 "," 	34,237 ",,
BLUE,Bluestone National Scenic River,WV,NER,,0,, 	55 ," 	200,235 ",,
BOWA,Booker T. Washington National Monument,VA,NER,,0,," 	9,899 "," 	1,116,019 ",,
BOAF,Boston African American National Historic Site,MA,NER,,0,," 	11,985 "," 	48,259 ",,
PARA,Grand Canyon - Parashant,,IMR,,1,8/11/10," 	20,534 "," 	261,535 ",,
BOST,Boston National Historic Park,MA,NER,,0,," 	4,750 "," 	55,910 ",,
BRCR,Brices Cross Roads National Battlefield Site,MS,SER,,0,," 	41,972 "," 	823,981 ",,
BRVB,Brown versus Board of Education National Historic Site,KS,MWR,,0,," 	1,347 "," 	317,298 ",,
BRCA,Bryce Canyon National Park,UT,IMR,,0,," 	210,278 "," 	224,180 ",,
BUIS,Buck Island Reef National Monument,VI,SER,,0,," 	114,277 "," 	85,640 ",,
BUFF,Buffalo National River,AR,MWR,,0,," 	1,279 "," 	40,739 ",,
GRCA,Grand Canyon National Park,AZ,IMR,,1,11/1/10," 	5,998 "," 	49,916 ",,
ROMO,Rocky Mountain National Park,CO,IMR,,1,Sep-07, 	999 ," 	8,188 ",,
CANA,Canaveral National Seashore,FL,SER,,0,, 	474 ," 	37,880 ",,
CARI,Cane River Creole National Historic Park,LA,SER,,0,, 	833 ," 	36,587 ",,
CACH,Canyon De Chelly National Monument,AZ,IMR,,0,, 	721 ," 	8,673 ",,
CANY,Canyonlands National Park,UT,IMR,,0,," 	8,198 "," 	15,325 ",,
SAAN,San Antonio Missions National Historic Park,TX,IMR,,1,1/16/13, 	533 ," 	32,726 ",,
CAHA,Cape Hatteras National Seashore,NC,SER,,0,," 	1,013,322 "," 	1,849,261 ",,
CAKR,Cape Krusenstern National Monument,AK,AKR,,0,," 	1,254,117 "," 	1,697,815 ",,
CALO,Cape Lookout National Seashore,NC,SER,,0,," 	2,735 "," 	40,585 ",,
CARE,Capitol Reef National Park,UT,IMR,,0,,,,,
CAVO,Capulin Volcano National Monument,NM,IMR,,0,," 	1,217,403 "," 	3,504,261 ",,
CARL,Carl Sandburg Home National Historic Site,NC,SER,,0,," 	309,995 "," 	2,204,524 ",,
