"id";"markername";"popuptext";"openpopup";"address";"lat";"lon";"layer";"zoom";"icon";"mapwidth";"mapwidthunit";"mapheight";"basemap";"panel";"controlbox";"createdby";"createdon";"updatedby";"updatedon";"kml_timestamp";"overlays_custom";"overlays_custom2";"overlays_custom3";"overlays_custom4";"wms";"wms2";"wms3";"wms4";"wms5";"wms6";"wms7";"wms8";"wms9";"wms10";"gpx_url";"gpx_panel"
"2";"Autry National Center";"Autry National Center";"0";"8700 Western Heritage Way, Los Angeles, CA 90027, USA";"34.144968";"-118.285123";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:12";"kaisa";"2014-03-26 18:11:12";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"3";"Autry Library, Libraries and Archives of the Autry";"Autry Library, Libraries and Archives of the Autry";"0";"Autry National Center, 4700 Western Heritage Way, Los Angeles, CA 90027, USA";"34.148676";"-118.28137";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:12";"kaisa";"2014-03-26 18:11:12";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"4";"California Route 66 Museum";"California Route 66 Museum";"0";"16827 South D Street, Victorville, CA 92395, USA";"34.537174";"-117.294499";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:12";"kaisa";"2014-03-26 18:11:12";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"5";"";"";"0";"314 North Glendora Avenue, Glendora, CA 91741, USA";"34.139957";"-117.865423";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:12";"kaisa";"2014-03-26 18:11:12";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"6";"Southern Pacific Historical & Technical Society";"Southern Pacific Historical & Technical Society";"0";"1523 Howard Access Road, Upland, CA 91786, USA";"34.115693";"-117.678628";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:13";"kaisa";"2014-03-26 18:11:13";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"7";"Los Angeles Public Library";"Los Angeles Public Library";"0";"630 West 5th Street, Los Angeles, CA 90071, USA";"34.050671";"-118.255196";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:13";"kaisa";"2014-03-26 18:11:13";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"8";"Historical Society of Temple City, INC";"Historical Society of Temple City, INC";"0";"6264 Rosemead Boulevard, Temple City, CA 91780, USA";"34.113274";"-118.073144";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:13";"kaisa";"2014-03-26 18:11:13";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"9";"University of Southern California";"University of Southern California";"0";"3550 Trousdale Parkway, University of Southern California, Los Angeles, CA 90089, USA";"34.020197";"-118.283725";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:13";"kaisa";"2014-03-26 18:11:13";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"10";"Loyola Los Angeles Law School";"Loyola Los Angeles Law School";"0";"919 Albany Street, Loyola Law School, Los Angeles, CA 90015, USA";"34.048971";"-118.270892";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:13";"kaisa";"2014-03-26 18:11:13";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"11";"Azusa Pacific University";"Azusa Pacific University";"0";"901 East Alosta Avenue, Azusa Pacific University, Azusa, CA 91702, USA";"34.129194";"-117.889024";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:14";"kaisa";"2014-03-26 18:11:14";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"12";"South Pasadena Public Library";"South Pasadena Public Library";"0";"1100 Oxley Street, South Pasadena, CA 91030, USA";"34.114037";"-118.155901";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:15";"kaisa";"2014-03-26 18:11:15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"13";"Los Angeles City College";"Los Angeles City College";"0";"855 North Vermont Avenue, Los Angeles, CA 90029, USA";"34.089214";"-118.292669";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:15";"kaisa";"2014-03-26 18:11:15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"14";"CSU Bakersfield";"CSU Bakersfield";"0";"Walter W. Stiern Library, 9001 Stockdale Highway, Bakersfield, CA 93311, USA";"35.35121";"-119.103186";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"15";"A.K. Smiley Public Library";"A.K. Smiley Public Library";"0";"125 West Vine Street, Redlands, CA 92373, USA";"34.054662";"-117.183966";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"16";"Mount Lowe Preservation Society, Inc.";"Mount Lowe Preservation Society, Inc.";"0";"San Gabriel, CA 91778, USA";"34.102398";"-118.099591";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"17";"Irwindale Library";"Irwindale Library";"0";"5050 Irwindale Ave, Irwindale, CA 91706, USA";"34.104749";"-117.932917";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"18";"Pasadena Museum of History";"Pasadena Museum of History";"0";"470 West Walnut Street, Pasadena, CA 91103, USA";"34.149095";"-118.160986";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"19";"The Gilb Museum of Arcadia Heritage";"The Gilb Museum of Arcadia Heritage";"0";"380 Huntington Drive, Arcadia, CA 91006, USA";"34.140101";"-118.022945";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"20";"Burbank Historical Society";"Burbank Historical Society";"0";"115 North Lomita Street, Burbank, CA 91506, USA";"34.172874";"-118.318189";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:16";"kaisa";"2014-03-26 18:11:16";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"21";"The Bancroft Library";"The Bancroft Library";"0";"University of California, Berkeley, Berkeley, CA, USA";"37.873913";"-122.250563";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:17";"kaisa";"2014-03-26 18:11:17";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"22";"Barstow College";"Barstow College";"0";"2700 Barstow Road, Barstow, CA 92311, USA";"34.870809";"-117.024314";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:17";"kaisa";"2014-03-26 18:11:17";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"23";"UCLA Library";"UCLA Library";"0";"Los Angeles, CA 90095, USA";"34.070264";"-118.444056";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:17";"kaisa";"2014-03-26 18:11:17";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"24";"";"";"0";"435 East Arrow Highway, Glendora, CA 91740, USA";"34.107712";"-117.855905";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:17";"kaisa";"2014-03-26 18:11:17";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
"25";"Pasadena Public Library";"Pasadena Public Library";"0";"285 East Walnut Street, Pasadena, CA 91101, USA";"34.150038";"-118.144148";"2";"8";"shootingrange.png";"800";"px";"400";"osm_mapnik";"1";"1";"kaisa";"2014-03-26 18:11:17";"kaisa";"2014-03-26 18:11:17";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0"
