UnitCode,UnitName,UnitWebsite,Black,BrownGrizzly,Polar
ACAD,Acadia National Park,http://www.nps.gov/ACAD,1,0,0
ALAG,Alagnak Wild River National Wild And Scenic River,http://www.nps.gov/ALAG,0,1,0
ALPO,Allegheny Portage Railroad National Historic Site,http://www.nps.gov/ALPO,1,0,0
AMIS,Amistad National Recreation Area,http://www.nps.gov/AMIS,1,0,0
ANIA,Aniakchak National Monument and Preserve,http://www.nps.gov/ANIA,0,1,0
APCO,Appomattox Court House National Historical Park,http://www.nps.gov/APCO,1,0,0
APIS,Apostle Islands National Lakeshore,http://www.nps.gov/APIS,1,0,0
APPA,Appalachian National Scenic Trail,http://www.nps.gov/APPA,1,0,0
ARCH,Arches National Park,http://www.nps.gov/ARCH,1,0,0
BAND,Bandelier National Monument,http://www.nps.gov/BAND,1,0,0
BELA,Bering Land Bridge National Preserve,http://www.nps.gov/BELA,0,1,1
BIBE,Big Bend National Park,http://www.nps.gov/BIBE,1,0,0
BICA,Bighorn Canyon National Recreation Area,http://www.nps.gov/BICA,1,0,0
BICY,Big Cypress National Preserve,http://www.nps.gov/BICY,1,0,0
BIHO,Big Hole National Battlefield,http://www.nps.gov/BIHO,1,0,0
BISO,Big South Fork National River and Recreation Area National River,http://www.nps.gov/BISO,1,0,0
BITH,Big Thicket National Preserve,http://www.nps.gov/BITH,1,0,0
BLCA,Black Canyon Of The Gunnison National Park,http://www.nps.gov/BLCA,1,0,0
BLRI,Blue Ridge Parkway National Parkway,http://www.nps.gov/BLRI,1,0,0
BLUE,Bluestone National Scenic River,http://www.nps.gov/BLUE,1,0,0
BOWA,Booker T. Washington National Monument,http://www.nps.gov/BOWA,1,0,0
BRCA,Bryce Canyon National Park,http://www.nps.gov/BRCA,1,0,0
BUFF,Buffalo National River,http://www.nps.gov/BUFF,1,0,0
CACH,Canyon De Chelly National Monument,http://www.nps.gov/CACH,1,0,0
CAKR,Cape Krusenstern National Monument,http://www.nps.gov/CAKR,0,1,1
CALO,Cape Lookout National Seashore,http://www.nps.gov/CALO,1,0,0
CANY,Canyonlands National Park,http://www.nps.gov/CANY,1,0,0
CARE,Capitol Reef National Park,http://www.nps.gov/CARE,1,0,0
