BaseLevel;BattleID;DateTime;Force;Lat;Lng;Name;ReassignedID;ReassignedLevel;SearchTerms;TemporalID;TroopID;TroopTemporalLinkID
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Union;37.606756902000001;-77.350137227600001;5 Pennsylvania Reserves;;;five, 5, fifth, pennsylvania reserves, PA;{71529890-D4F5-4E7F-9380-783328862837};{1AAE0B5D-56AE-40B9-8D09-A17ED28F7805};{FFE92D0A-775A-4150-BBAD-002FAAA5B989}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Confederate;37.604720718199999;-77.371090159600001;Fredericksburg Artillery;;;fredericksburg artillery, VA;{2652D569-4CD0-4995-8CC8-82EA8F391192};{91A861CA-3558-4425-9733-2E5DB7DA3DB4};{1F0533E6-1EFF-49ED-A362-01300F47A8A3}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Confederate;37.594277005499997;-77.369500440600007;34 North Carolina;;;thirty four, 34, thirty fourth, north carolina, NC;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{E6184821-2E1E-47F1-9614-97F1B3527C49};{A63380CC-E9E3-4C8B-A6CA-01C79FB1163E}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Union;37.602268429699997;-77.348736781699998;Meade's Brigade;;;meade's,second,2nd;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{FDEFAF6A-C061-4DD2-ACF3-EE3A381F80B7};{9A16FE7A-38E4-4BBF-AA76-02024B34D4F7}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 17:00:00;Union;37.586617612700003;-77.354986207400003;11 Pennsylvania Reserves;;;eleven, 11, eleventh, pennsylvania reserves, PA;{9BABFE02-2E08-4F68-A5D5-CF0628B3D2E7};{50A363BA-6B5D-43BA-9DDF-D771FFD0473F};{C71B4D08-C9C3-4EB6-8716-02496E8BEDE3}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Union;37.606232685400002;-77.334613718499995;Battery D, 5 U. S. Artillery;;;battery d, five, 5, fifth, U.S., united states, artillery, US;{2652D569-4CD0-4995-8CC8-82EA8F391192};{D5D28CB1-01A0-4B69-B85E-BCC58BB27BB9};{B66D20DD-E7F8-401C-BD24-02BDC7DE198D}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:30:00;Confederate;37.610400480099997;-77.375482138199999;Branch's Brigade;;;brnach's,fourth,4th;{71529890-D4F5-4E7F-9380-783328862837};{1C195636-1FDF-4DF8-BC51-9503D01168FC};{B960B6CF-473C-4297-8452-03845B727C2D}
Corps;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 15:30:00;Union;37.6065430405;-77.326537297599998;Fifth;;;fifth,5th;{7A8D9FC7-4C28-43FE-BDB2-19C2515CA6AC};{950487FB-5FCF-4BDD-B680-0DC296A3F58D};{132A91DA-7F40-4241-A99A-0478376643DF}
Brigade;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 19:30:00;Union;37.591181159500003;-77.317320185499995;Butterfield's Brigade;;;butterfield's,third,3rd;{2652D569-4CD0-4995-8CC8-82EA8F391192};{749CAD87-2523-4C63-8AB8-D710919E4937};{C2680439-D796-4715-9E3A-047BA2A7276E}
Unit;{4F8C5E80-D570-4A80-B0C2-AE39CA24D776};1862-06-26 18:00:00;Confederate;37.584487743799997;-77.389257347099999;Letcher Artillery;;;letcher artillery, VA;{DE1E4F96-DA61-4649-970E-68E06453CC4B};{DC436744-021A-4331-8BDE-CD5A27E2AF82};{D191EE7C-F806-4FDF-837C-06E44D7AD313}
