the_geom,cartodb_id,the_geom_webmercator,park,link,lat,lng,project,fiscalyear,hex
0101000020E61000009A931799801151C0562C7E53582B4640,1,0101000020110F00001D4410170AFE5CC1B2A22E36AB0C5541,Acadia National Park,https://www.nps.gov/acad/index.htm,44.338633,-68.273474,Collecting Key Information Guides Conservation Efforts for Myotis Bats in Acadia National Park,2017,#117733
0101000020E61000008AAC35945ABC62C0554E7B4ACE9B4E40,2,0101000020110F0000FB1F5AF116D36FC1A7FDA453448C6041,Alaska Region,https://www.nps.gov/orgs/1840/index.htm,61.217233,-149.886057,"Determine Occurrence, Habitat, Roosting, and Migration Patterns for Bats in Alaska National Parks",2017,#117733
0101000020E6100000BF27D6A9F2B253C0FFCA4A9352B04240,3,0101000020110F0000BD98622CFABA60C1717042EA94225141,Appomattox Court House National Historical Park,https://www.nps.gov/apco/index.htm,37.37752,-78.796061,Fall Acoustic and Mist-net Surveys ,2017,#117733
0101000020E61000000116F9F5433157C0A86E2EFEB6FD4140,4,0101000020110F00004D15867C85B263C1F45CB4466D655041,Buffalo National River,https://www.nps.gov/buff/index.htm,35.982147,-92.769773,"WNS Surveillance, Education, and Protection Project for FY2017",2017,#117733
0101000020E6100000282B86AB03605CC0CF126404549A4540,5,0101000020110F0000CAD07F64541968C1E87D901919625441,Craters of the Moon National Monument and Preserve,https://www.nps.gov/crmo/index.htm,43.205689,-113.500224,The Grid Cave Search and WNS Outbreak Project at Craters of the Moon,2017,#117733
0101000020E610000075AF93FAB2EC54C09ACE4E06474D4240,6,0101000020110F0000307E133E72C561C1A0C9FAB643B95041,Cumberland Gap National Historical Park,https://www.nps.gov/cuga/index.htm,36.60373,-83.698424,1. Batty About Bats - Bat Education Blitz and Acoustic Monitoring 2. Assessment of Threatened Cave Bat Populations,2017,#117733
0101000020E6100000A56ABB09BE2D5AC0FF4124438E4B4640,7,0101000020110F00001DB822B8CA3B66C1C30C7A1200335541,Devils Tower National Monument ,https://www.nps.gov/deto/index.htm,44.590279,-104.714724,"WNS Education and Outreach, Pd Surveillance, Hibernacula Identification, and Monitoring",2017,#117733
0101000020E6100000349C3237DFCB56C0F1B73D41628B4540,8,0101000020110F00000709206A685C63C120E401A8B3505441,Effigy Mounds National Monument,https://www.nps.gov/efmo/index.htm,43.088936,-91.185499,Investigation of Habitat Use by WNS-Susceptible Bat Species,2017,#117733
0101000020E6100000D690B8C7D25053C0F148BC3C9DE54340,9,0101000020110F0000ABBA3FD9A36760C1466321F2AF725241,Eisenhower National Historic Site,https://www.nps.gov/eise/index.htm,39.793861,-77.262865,Post White-nose Syndrome Bat Community Survey and Maternity Roost Tree Utilization by Northern Long-eared Bats,2017,#117733
0101000020E6100000B5E1B034F04852C021B1DD3D40534440,10,0101000020110F0000539E6F740B0F5FC109F9FDD9A3EC5241,Fire Island National Seashore,https://www.nps.gov/fiis/index.htm,40.650398,-73.139661,Northern Long-eared Bat Mist-netting and Acoustic Surveys ,2017,#117733
0101000020E6100000E607AEF2045E53C0E8D84125AE254340,11,0101000020110F00005ED477EDD87260C1D3481AD2C9A05141,Fredericksburg & Spotsylvania National Military Park,https://www.nps.gov/frsp/index.htm,38.294377,-77.469052,Fall Acoustic and Mist-net Surveys ,2017,#117733
